"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          22,      -7.304275395,      -7.293675037,      -7.455455867,      -7.080396621,      -6.678730717
          0,           0,          23,      -7.378814451,      -7.376416009,      -7.564363727,      -7.174662097,      -6.760979686
          0,           0,          24,      -7.450665702,      -7.455574154,      -7.670979129,      -7.271191896,      -6.832742173
          0,           0,          25,      -7.528422592,      -7.534330338,      -7.769868055,      -7.367473907,        -6.9063008
          0,           0,          26,      -7.600434342,      -7.611720798,      -7.846898904,      -7.449785639,      -6.989966319
          0,           0,          27,      -7.667061904,      -7.686582414,      -7.921554817,      -7.533774404,      -7.058300717
          0,           0,          28,      -7.744335661,      -7.759410174,      -7.989200478,      -7.615372556,      -7.128101524
          0,           0,          29,      -7.825022976,      -7.833860562,      -8.050658636,      -7.692764809,      -7.202435119
          0,           0,          30,      -7.897084397,      -7.909990993,      -8.105311496,      -7.760380975,      -7.287031215
          0,           0,          31,       -7.95979253,      -7.979175015,      -8.157283737,      -7.826074934,      -7.351209669
          0,           0,          32,      -8.030347156,       -8.04422207,       -8.20156019,      -7.886435593,      -7.413675485
          0,           0,          33,      -8.099053467,      -8.110587185,      -8.238849198,      -7.941186797,      -7.476687692
          0,           0,          34,       -8.16099126,      -8.187994204,      -8.282739493,      -7.993526476,      -7.553057268
          0,           0,          35,      -8.214222012,      -8.253918891,      -8.323057582,      -8.045224534,      -7.607439766
          0,           0,          36,      -8.279122229,      -8.315990594,      -8.364684193,      -8.095093475,      -7.663121804
          0,           0,          37,      -8.343629165,      -8.379451805,      -8.409706426,      -8.145581522,       -7.72152028
          0,           0,          38,      -8.402861883,      -8.456980229,      -8.460279523,          -8.19687,      -7.796983298
          0,           0,          39,      -8.452486495,      -8.519446149,      -8.511877107,      -8.251346407,      -7.847202058
          0,           0,          40,      -8.516302466,       -8.57591968,      -8.567068144,      -8.306437141,       -7.89972312
          0,           0,          41,      -8.579309192,      -8.633490143,      -8.625122981,      -8.362795242,      -7.955729927
